candidate_id	kind	file_path	symbol_or_api	branch_context	master_presence	disposition	tags	master_evidence	dependency_id
C001	cli-flag	crates/nockchain-bench/src/runner/docker.rs:174	--pma-persist	bench@nockchain-bench-master-candidate;target=upstream/master@cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c	missing	defer	pma|cli-flag|runtime	git grep -n --fixed-strings -- '--pma-persist' cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c -- crates/* (no matches)	dep-001
C002	env-toggle	crates/nockchain-bench/src/runner/docker.rs:220	NOCK_PMA_PERSIST	bench@nockchain-bench-master-candidate;target=upstream/master@cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c	missing	defer	pma|env-toggle|runtime	git grep -n --fixed-strings -- 'NOCK_PMA_PERSIST' cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c -- crates/* (no matches)	dep-001
C003	env-toggle	crates/nockchain-bench/src/main.rs:437	NOCK_PMA_CANDIDATE	bench@nockchain-bench-master-candidate;target=upstream/master@cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c	missing	defer	pma|env-toggle|sweep	git grep -n --fixed-strings -- 'NOCK_PMA_CANDIDATE' cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c -- crates/* (no matches)	dep-002
C004	env-toggle	crates/nockchain-bench/src/main.rs:441	NOCK_STREAMING_CHECKPOINT_CHUNK_SIZE	bench@nockchain-bench-master-candidate;target=upstream/master@cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c	missing	defer	checkpoint|env-toggle|sweep	git grep -n --fixed-strings -- 'NOCK_STREAMING_CHECKPOINT_CHUNK_SIZE' cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c -- crates/* (no matches)	dep-003
C005	type	crates/nockchain-bench/src/speed_of_light/compat.rs:5	NounSpace	bench@nockchain-bench-master-candidate;target=upstream/master@cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c	missing	defer	nounspace|type|sol	git grep -n --fixed-strings -- 'NounSpace' cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c -- crates/* (no matches)	dep-004
C006	trait-method	crates/nockchain-bench/src/speed_of_light/compat.rs:41	NounCompatExt::in_space	bench@nockchain-bench-master-candidate;target=upstream/master@cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c	missing	defer	nounspace|adapter|sol	git grep -n --fixed-strings -- 'NounCompatExt::in_space' cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c -- crates/* (no matches)	dep-004
C007	trait-method	crates/nockchain-bench/src/speed_of_light/compat.rs:8	NounSlabCompatExt::noun_space	bench@nockchain-bench-master-candidate;target=upstream/master@cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c	missing	defer	nounspace|adapter|sol	git grep -n --fixed-strings -- 'NounSlabCompatExt::noun_space' cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c -- crates/* (no matches)	dep-004
C008	module	crates/nockchain-bench/src/speed_of_light/compat.rs:1	speed_of_light::compat	bench@nockchain-bench-master-candidate;target=upstream/master@cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c	missing	defer	nounspace|module|adapter	git grep -n --fixed-strings -- 'speed_of_light::compat' cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c -- crates/* (no matches)	dep-004
C009	peek-path	crates/nockchain-bench/src/speed_of_light/extractor.rs:234	raw-transactions	bench@nockchain-bench-master-candidate;target=upstream/master@cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c	missing	defer	sol|peek-path|mempool	git grep -n --fixed-strings -- 'raw-transactions' cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c -- crates/* (no matches)	dep-005
C010	peek-path	crates/nockchain-bench/src/speed_of_light/extractor.rs:314	heaviest-chain-blocks-range	bench@nockchain-bench-master-candidate;target=upstream/master@cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c	present-control	replace-with-master-equivalent	sol|peek-path|positive-control	cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c:crates/nockapp-grpc/src/services/public_nockchain/v2/block_explorer.rs:659	dep-ctl-001
C011	cli-flag	crates/nockchain-bench/src/runner/docker.rs:179	--data-dir	bench@nockchain-bench-master-candidate;target=upstream/master@cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c	uncertain	defer	cli-flag|runtime|pathing	cd91acc3f2975ce2dc4f66ce73fb87a421e9b27c:crates/hoonc/README.md:36 (docs-only hit; no crates runtime symbol match)	dep-006
